batch;experiment_id;optuna_study_id;dataset_name;model_name;method_name;num_results;avg_test_acc_fold;std_test_acc_fold;std_err_test_acc_fold;sq_std_err;best_avg_val_acc_fold;avg_acc_diff_fold;best_avg_val_acc_epoch_fold;best_avg_train_loss_fold;best_avg_train_loss_epoch_fold;fold;required_folds;num_completed_trials_fold;best_trial_number
delta;7;67;MUTAG;GCN;submix;3;0.828828832;0.031208138;0.018018027;0.000324649;1;-0.171171168;240;0.356749296;310;4;5;30;5
delta;10;35;MUTAG;GCN;ged_mixup;3;0.754385968;0.015193439;0.008771936;7.69469E-05;0.966666639;-0.212280671;410;0.416201949;480;0;5;30;6
delta;10;45;MUTAG;GCN;ged_mixup;3;0.789473693;0.026315778;0.015193422;0.00023084;0.966666639;-0.177192946;440;0.260135531;440;1;5;30;17
delta;10;52;MUTAG;GCN;ged_mixup;3;0.763157904;0;0;0;0.933333337;-0.170175433;440;0.428938217;380;2;5;30;24
delta;10;61;MUTAG;GCN;ged_mixup;3;0.873873889;0.015604052;0.009009004;8.11621E-05;0.966666639;-0.092792749;400;0.248408973;260;3;5;30;3
delta;10;66;MUTAG;GCN;ged_mixup;3;0.9009009;0.031208104;0.018018007;0.000324649;1;-0.0990991;440;0.246436074;510;4;5;30;6
delta;13;38;MUTAG;GCN;geomix;3;0.754385968;0.015193439;0.008771936;7.69469E-05;0.899999976;-0.145614008;350;0.498626292;530;0;5;30;13
delta;13;44;MUTAG;GCN;geomix;3;0.754385968;0.054780666;0.031627632;0.001000307;0.933333397;-0.178947429;350;0.36899671;410;1;5;30;2
delta;13;53;MUTAG;GCN;geomix;3;0.570175419;0.132453226;0.076471906;0.005847952;0.966666639;-0.39649122;400;0.663719416;440;2;5;30;8
delta;13;139;MUTAG;GCN;geomix;3;0.873873889;0.015604052;0.009009004;8.11621E-05;0.966666639;-0.092792749;320;0.341300404;210;3;5;30;24
delta;13;68;MUTAG;GCN;geomix;3;0.828828851;0.015604086;0.009009024;8.11625E-05;1;-0.171171149;300;0.269685775;410;4;5;30;14
delta;14;31;MUTAG;GCN;fgw_mixup;3;0.780701756;0.040198035;0.023208346;0.000538627;0.933333337;-0.152631581;360;0.543784857;520;0;5;30;4
